Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
Not on file,9780393328110,Dropsie Avenue,Will Eisner,,2006,W. W. Norton & Company
PDF,9780295955254,No-No Boy,John Okada,,1976,University of Washington Press
Not on file,9780375714887,A.D.: New Orleans After the Deluge,Josh Neufeld,,2010,Knopf Doubleday Publishing Group
"DOC, KES, PDF",9780078110863,Financial Reporting and Analysis,Lawrence Revsine,5,2011,"McGraw-Hill Companies,Incorporated"
"KES, PDF",9780538477116,Fund of Financial Mgmt: Concise,Brigham,7,2012,Cengage Learning
Not on file,9780781753234,The Profession of Dietetics: A Team Approach,June R. Payne-Palacio,,2005,Lippincott Williams & Wilkins
Not on file,9781118127773,Core Concepts of Management,"John Wiley & Sons, Incorporated",,2012,
Not on file,9780307888907,"The Start-Up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,,2012,Random House DigitalInc.
Not on file,9780781736268,Management of Common Musculoskeletal Disorders: Physical Therapy Principles and Methods,Darlene Hertling,4,2005,Lippincott Williams & Wilkins
PDF,9780495604204,Interpersonal Process in Therapy: An Integrative Model,Edward Teyber,6,2010,Cengage Learning
Record not found,9780970267139,"Assessment of Children: Behavioral, Social, and Clinical Foundations",Jerome M. Sattler,5,2006,J.M. Sattler
Not on file,9780970267160,Assessment of Children: Cognitive Foundations,Jerome M. Sattler,,2008,Pro Ed
"DOC, KES, PDF",9781561484287,The Little Book of Strategic Negotiation: Negotiating During Turbulent Times,Jayne Seminare Docherty,,2005,Good Books
"DOC, KES, PDF",9780307341440,Thank You for Arguing,Jay Heinrichs,,2007,Random House DigitalInc.
PUB PDF,9780763796075,Principles and Practice of Sport Management,Lisa Masteralexis,4,2011,Jones & Bartlett Publishers
"DOC, KES, OPD, PDF",9780757589683,Hybrid Culture:Mix-Art,James W. Davis,,,
Not on file,9781412941075,"Race, Ethnicity, and Gender: Selected Readings",,2,2007,Pine Forge Press
"OPD, TXT",9781412941105,Ethnicity and race: making identities in a changing world,Stephen Ellicott Cornell,2,1998,Pine Forge Press
"DOC, OPD, PDF",9780807009772,Freedom Dreams: The Black Radical Imagination,Robin D.G. Kelley,,2003,Beacon Press
"KES, PDF",9780814251638,LANGUAGE FILES,OHIO STATE UNIVERSITY OSU DEPT LINGUISTICS,10,2007,
Not on file,9780807750216,Black Youth Rising,Shawn A. Ginwright,,2010,Teachers College Press
"DOC, KES, PDF",9780415933001,Tough Fronts,L. Janell Dance,,2002,Taylor & Francis
"KES, TIF",9780393320787,Code of the Street,Elijah Anderson,,2000,W. W. Norton & Company
Not on file,9781421403984,"Wrong Place, Wrong Time",John A. Rich,,2011,Johns Hopkins University Press
Not on file,9782911928086,African philosophy,Thophile Obenga,,2004,Per Ankh
"DOC, KES, PDF",9781405145671,A Companion to African Philosophy,,,2006,John Wiley & Sons
"DOC, KES, PDF",9780826412676,"Toms, Coons, Mulattoes, Mammies, and Bucks",Donald Bogle,4,2001,Continuum International Publishing Group
"KES, PDF",9781439186817,For Colored Girls Who Have Considered etc (Movie Tie-In),Shange,,,
Not on file,9780312115043,Writing Papers in the Biological Sciences,Vicky McMillan,2,1997,Bedford Books
Not on file,9780345467836,"Complicity: How the North Promoted, Prolonged, and Profited from Slavery",Anne Farrow,,2006,Random House DigitalInc.
DOC,9780316831307,Strangers from a Different Shore: A History of Asian Americans Au of...,Ronald Takaki,,1998,LittleBrown
Not on file,9781451673319,Fahrenheit 451: A Novel,Ray Bradbury,,2012,Simon and Schuster
"Searchable PDF, KES done",9780312447250,Disability and the Teaching of Writing: A Critical Sourcebook,Cynthia Lewiecki-Wilson,,2007,Bedford/St. Martin's
Searchable PDF,B0030DFWZM,Confronting the Challenges of Participatory Culture: Media Education for the 21st Century,Henry Jenkins,,,
"DOC, PDF, Searchable PDF",9780520201620,Encounters With Aging,Margaret Lock,1993,1993,University of California Press
"PDF, Searchable PDF, DOC done",9780521535359,Immanuel Kant: Prolegomena to Any Future Metaphysics,Immanuel Kant,2,2004,
"PDF, Searchable PDF, DOC done",9780872202290,An Enquiry Concerning Human Understanding,David Hume,2,1993,Hackett
"PDF, Searchable PDF, DOC done",9780195335422,The Elements of Philosophy: Readings from Past and Present,,,2007,Oxford University PressUSA
"PDF, Searchable PDF, DOC done",9781405131674,Philosophical Writing: An Introduction,A. P. Martinich,3,2005,John Wiley & Sons
Master PDF; DOC done,9780321715364,The Essential Cosmic Perspective,Jeffrey O. Bennett,6,2010,Benjamin-Cummings Publishing Company
"PDF, TXT done",9781878512239,Voices of Recovery,,,2009,Boston UniversityCenter for Psychiatric Rehabilitation
"PDF, TXT done",9780195306668,Writing and Reporting the News,Jerry Lanson,3,2007,Oxford University PressUSA
"Only p. 26-69 (PDF, DOC, KES)",JT092012A,Engaging Audience,,,,
"Only p. 93-111 (PDF, DOC, KES)",JT092012B,"Teaching Writing Using Blogs, Wikis, and Other Digital Tools",,,,
"PDF, Searchable PDF, DOC done",9781565129764,In The Time Of The Butterflies,Julia Alvarez,,2010,Algonquin Books
"PDF, DOC",SB092112,Stephanie Bito Handout,,,,
"PDF, Searchable PDF, DOC, KES",9780521358125,Descartes Selected Philosophical Writings,Descartes,,1988,Cambridge University Press
Master PDF,9781118010402,Organic Chemistry I As a Second Language: First Semester Topics,David R. Klein,3,2011,John Wiley & Sons
Master PDF; MP3 done,9780131321793,Human Communication in Society,Books,1,2009,Pearson
"PDF, Searchable PDF, DOC, KES",9780143035466,Lives on the Boundary,Mike Rose,,1989,Penguin Books
"PDF, Searchable PDF, DOC done",9780316069908,Eating Animals,Jonathan Safran Foer,,2009,Hachette DigitalInc.
"TIF, KES done",9781583670194,The vulnerable planet: a short economic history of the environment,John Bellamy Foster,2,1999,Monthly Review Press
Not on file,9781442203990,First Along the River: A Brief History of the U.S. Environmental Movement,Benjamin Kline,4,2011,Rowman & Littlefield
Not on file,9781599417714,Environmental Law and Policy,James Salzman,3,2010,West Group
"PDF, Searchable PDF, DOC, KES",9781452203300,Environmental Policy: New Directions for the Twenty-First Century 8th Edition,Norman J Vig,8,2012,CQ Press
"PDF, DOC, KES done",9780262731799,Precautionary Politics: Principle and Practice in Confronting Environmental Risk,Kerry H. Whiteside,,2006,MIT Press
"PDF, Searchable PDF, DOC done",9780465028825,"Pox: Genius, Madness, And The Mysteries Of Syphilis",Deborah Hayden,,2003,Basic Books
"Only p. 157-179 (PDF, DOC, KES)",9781602350229,The two virtuals,Alexander Reid,,2007,Parlor Press
Not on file,9780385512107,The Curious Incident of the Dog in the Night-Time: A Novel,Mark Haddon,,2003,Random House DigitalInc.
"PDF, DOC, TXT done",9780072952971,Just enough UNIX,Paul K. Andersen,5,2005,McGraw-Hill
"TIF, DOC, KES done",9780932863225,American Indians: stereotypes & realities,Devon Abbott Mihesuah,,1996,Clarity
"Only p. 113-133 (PDF, DOC, KES)",9781570038891,Rhetorics and Technologie,Stuart A. Selber,,2010,University of South Carolina Press
Not on file,9780195136135,"Electric Circuits Fundamentals, Volume 1",Sergio Franco,,1994,Oxford University PressUSA
Not on file,9780415498067,An Introduction to the Geography of Health,Peter Anthamatten,,2011,Routledge
"PDF, Searchable PDF, DOC done",9780935028706,Benedita Da Silva,Benedita Da Silva,,1997,
"Master PDF, DOC",9780312538613,Everything's an Argument with Readings,Andrea A. Lunsford,5,2010,Bedford/St. Martin's
"PDF, Searchable PDF, DOC, KES",9780393315059,Hamlet,Kenneth Branagh,,1996,W. W. Norton & Company
"Master PDF; DOC, TXT done",9780826108418,Certified Rehabilitation Counselor Examination Preparation:,"Fong Chan, PhD, CRC",,2011,Springer Publishing Company
Master PDF & DOC,9781413010459,Texts and Contexts,William S. Robinson,6,2005,Cengage Learning
"PDF, DOC, KES (incomplete)",9780807736678,Teaching Positions,Elizabeth Ann Ellsworth,,1997,Teachers College Press
Master PDF; some KES,9780393927658,Shakespeare and Film,Samuel Crowl,,2008,W.W. Norton
Not on file,9780674015081,Huck's Raft: A History of American Childhood,Steven Mintz,,2004,Harvard University Press
"Only p. 1-89 (PDF, KES)",9780520249639,Scenes of Instruction: The Beginnings of the U.S. Study of Film,Dana Polan,,2007,University of California Press
"Only p. 39-54 (PDF, KES)",9781433102301,Mirror Images: Popular Culture and Education,Diana Silberman Keller,,2008,Peter Lang
Not on file,9781449316822,Statistics in a Nutshell,Sarah Boslaugh,,2012,O'Reilly MediaIncorporated
Not on file,9780826332011,"Death, Dismemberment, And Memory: Body Politics In Latin America",Lyman L. Johnson,,2004,UNM Press
Not on file,9780812221220,Eugenic Design: Streamlining America in The 1930s,Christina Cogdell,,2010,University of Pennsylvania Press
Not on file,9780975938409,HardiTraining????: A Comprehensive Approach to Mastering Stressful Circumstances,Deborah Khoshaba,,2005,Hardiness Institute
Not on file,9780553380118,"Sabbath: Finding Rest, Renewal, and Delight in Our Busy Lives",Wayne Muller,,2000,Random House DigitalInc.
Not on file,9781594630934,The First 20 Minutes: Surprising Science Reveals How We Can,Gretchen Reynolds,,2012,Hudson Street Press
Not on file,9780060832995,Stress Free for Good: 10 Scientifically Proven Life Skills for Health and Happiness,Frederic Luskin,,2005,HarperCollins
Not on file,9780674445444,In a Different Voice: Psychological Theory and Women's Development,Carol GILLIGAN,,1982,Harvard University Press
Not on file,9780415772006,The ethics of care and empathy,Michael A. Slote,,2007,Routledge
"TIF, RTF",9781848600348,Doing Qualitative Research,David Silverman,3,2009,SAGE Publications
PDF,9780132774208,Digital Design: With an Introduction to the Verilog HDL,M. Morris Mano,5,2012,Prentice Hall
"DOC, KES, PDF",9780195082081,4 Sociological Traditions,Randall Collins,2,1994,Oxford University Press
"PDF, KES, DOC",9780520268180,Europe and the People Without History,Eric R. Wolf,2,2010,University of California Press
"PDF, KES, DOC",9780691147963,Sara Baartman and the Hottentot Venus: A Ghost Story and a Biography,Clifton Crais,,2010,Princeton University Press
"DOC, PDF, KES",9780312243357,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families: Stories from Rwanda,Philip Gourevitch,,1999,Macmillan
Not on file,9781256743101,Human Communication in Society,Alberts,5,,
"PDF, DOC",9780743247542,The Glass Castle: A Memoir,Jeannette Walls,,2006,Simon and Schuster
"DOC, PDF",9781457604911,Media and Culture with 2013 Update: An Introduction to Mass Communication,Richard Campbell,8,2012,Macmillan
PDF,9780942299892,The Expressiveness of the Body and the Divergence of Greek and Chinese Medicine,Kuriyama,,2002,Zone
PDF,9780887253317,A Handbook of Biological Investigation,Harrison W. Ambrose,7,2007,Hunter Textbooks
Not on file,9781256512714,Operations Management,,,2010,Pearson Learning Solutions
PDF,9780470403716,Cuisine and Culture: A History of Food and People,Linda Civitello,3,2011,John Wiley & Sons
"DOC, PDF, TXT",9780558933265,Custom Business RES PKG SFSU,Nicholson,,2012,Pearson Learning Solutions
Not on file,9780736067577,In Pursuit of Excellence: How to Win in Sport and Life Through Mental Training,Terry Orlick,4,2008,Human Kinetics
"PDF, TXT, DOC",9780060162535,Flow,Mihaly Csikszent,,1991,HarperCollins
PDF,9780132539302,A Framework for Marketing Management,"Philip Kotler, Ph.D.",5,2001,Prentice Hall
PDF,9781608310173,Nutrition and Diagnosis-Related Care,Sylvia Escott-Stump,7,2011,Wolters Kluwer Health/Lippincott Williams & Wilkins
PDF,9780880914680,International Dietetics and Nutritional Terminology Pocket Guide,,4,2012,American Dietetic Association
"DOC, PDF",9780769302614,Applied Phonetics Workbook: A Systematic Approach to Phonetic Transcription,Harold T. Edwards,3,2003,Thomson
"DOC, PDF",9780205172887,A Sequence for Academic Writing,Laurence Behrens,5,2011,Longman
Not on file,9780077433239,Manual of Structural Kinesiology,,,,
"KES,PDF,DOC",9780781783514,Exercise Physiology: Integrating Theory and Application,William J. Kraemer,,2011,Lippincott Williams & Wilkins
"DOC,KES.OPD,PDF",9780415489942,Research Methods: The Basics,Nicholas Walliman,,2011,Taylor & Francis Group
"DOC,KES,OPD,PDF",9780757526473,Becoming Interdisciplinary: An Introduction to Interdisciplinary Studies,Tanya Augsburg,,2006,Kendall Hunt Publishing Company
"DOC,KES,OPD,PDF",9780393933826,The Norton Field Guide to Writing With Readings and Handbook,Richard H. Bullock,,2009,W. W. Norton & Company
"DOC, KES, PDF",9780393933611,They Say/I Say: The Moves That Matter in Academic Writing,Gerald Graff,,2010,W.W. Norton & Company
PDF,9780135074817,The Food and Culture Around the World Handbook,Helen C. Brittin,,2011,Prentice Hall
"[SFSU Text] DOC, KES, PDF, TXT",9781256689195,Mgmt info system,,,,
PDF,9780205744510,Child Development + Mydevelopmentlab: Books a La Carte,Robert S. Feldman,5,2009,Prentice Hall
PDF,9781452225463,The Practice of Research in Social Work,Rafael J. Engel,3,2012,SAGE
"DOC,KES,PDF",9780816628650,Policing Space: Territoriality and Los Angeles Police Department,Steven Kelly Herbert,3,1997,U of Minnesota Press
"DOC,PDF",9780520256750,Cracks in the Pavement: Social Change and Resilience in Poor Neighborhoods,Mart?Ÿ??n S?Ÿ?­nchez-Jankowski,,2008,University of California Press
PDF,9780123852434,Criminal Profiling: An Introduction to Behavioral Evidence Analysis,Brent E. Turvey,4,2011,Academic Press
"DOC,PDF",9780199830008,Banished: The New Social Control In Urban America,Katherine Beckett,,2012,OUP USA
"DOC,PDF",9781552664414,Research for Social Justice : A Community-Based Approach,", Schwartz",,2011,"Fernwood Publishing Company, Limited"
PDF,9780894136436,Internal Auditing: Assurance & Consulting Services,Kurt F. Reding,2,2009,Inst of Internal Auditors
"PDF,DOC",9780813348193,The Arab Spring: Change and Resistance in the Middle East,Mark L. Haas,,2012,Perseus Books
PDF,9780205854721,American Foreign Policy,Glenn P. Hastedt,9,2012,Prentice Hall
"DOC, PDF",9780078050718,Annual Editions: American Foreign Policy 11/12,Glenn Hastedt,15,2010,"McGraw-Hill Companies,Incorporated"
"DOC, PDF",9780199891771,The Arab Uprisings: What Everyone Needs to Know,James L. Gelvin,,2012,Oxford University Press
"DOC,PDF",9781601271341,The Islamists Are Coming: Who They Really Are,Robin Wright,,2012,US Institute of Peace Press
"DOC,PDF",9781935554387,The People Reloaded,,,2011,Melville House
"DOC, PDF",9780815722267,The Arab Awakening: America and the Transformation of the Middle East,Kenneth Michael Pollack,,2011,Brookings Institution Press
Not on file,9780374532079,The White Album: Essays,Joan Didion,,2009,FarrarStraus and Giroux
Not on file,9780140255706,My First Summer in the Sierra,John Muir,,1997,Penguin Books
DOC,9780553272932,Hunger of Memory: The Education of Richard Rodriguez,Richard Rodriguez,,1983,Random House DigitalInc.
Not on file,9780345410085,Hell's Angels,Hunter S. Thompson,,1996,Random House DigitalInc.
"DOC, KES, TXT",9780618216208,Farewell to Manzanar,Jeanne Wakatsuki Houston,,1995,Bantam Books
"PDF, RTF",9780394758282,The Big Sleep,Raymond Chandler,,1988,Random House DigitalInc.
"PDF, TXT",9780140238280,The Tortilla Curtain,T. C. Boyle,,1996,Penguin
Not on file,9780140042528,The Dharma Bums,Jack Kerouac,,1976,Penguin
Not on file,9780077758981,business 690 strategic management san francisco state university: Frank Rothaermel: 9780077758981,,,2012,McGrow-Hill
"PDF, KES, DOC",9780816632398,"Classic Hollywood, Classic Whitenes",Daniel Bernardi,,2001,U of Minnesota Press
Not on file,9780847699476,Screen Saviors: Hollywood Fictions of Whiteness,Vera,,2003,Rowman & Littlefield
"DOC, KES",9780763735821,"Introduction to Epidemiology: Ray M. Merrill, Thomas C. Timmreck",Ray M. Merril,4,2006,Jones & Bartlett Learning
"DOC, KES, PDF",9781412937757,Proposal Writing: Effective Grantsmanship,Soraya M. Coley,3,2007,SAGE
"PDF, DOC",9780137152575,Developing Your Theoretical Orientation in Counseling and Psychotherapy,Duane A. Halbur,2,2010,Prentice Hall
"DOC, PDF",9780205484775,What Therapists Say and Why They Say It,Bill McHenry,,2007,Prentice Hall
Not on file,9780415885942,"Career Counseling: Foundations, Perspectives, and Applications",,2,2012,Routledge
"DOC, KES, PDF",9780573640421,Glengarry Glen Ross: A Play,David Mamet,,1983,Samuel French
"DOC, KES, PDF",9781597141192,"A Yankee in Mexican California, 1834-1836","Richard Henry Dana, Jr.",,2010,Heyday Books
PDF,9780073528212,Mapping the Social Landscape: Readings in Sociology,Susan J Ferguson,6,2009,"McGraw-Hill Companies,Incorporated"
